Hospitalizations - Total,Cases - Total,Deaths - Total,Date,average_temperature,humidity_level,public_health_measures_index,vaccination_rate,population_density,healthcare_capacity,air_quality_index,average_age_of_cases,comorbidity_prevalence,economic_activity_index
19.0,352,1,03/08/2023,,,,,,,,,,
6.0,56,0,06/02/2023,22.0,65.0,,75.0,4600.0,,45.0,,,
7.0,85,0,05/31/2023,18.3,65.0,,75.2,11883.0,,42.0,,,
151.0,574,25,04/09/2020,12.0,65.0,,,4600.0,,45.0,,,
160.0,489,16,03/31/2020,45.0,60.0,,,11883.0,,50.0,,,
123.0,940,46,05/12/2020,8.0,70.0,,,11883.0,,45.0,,,
16.0,188,2,08/23/2023,25.0,70.0,,70.0,4600.0,,50.0,,,
10.0,108,1,05/17/2023,18.0,65.0,,75.0,11883.0,,45.0,,,
27.0,318,2,08/07/2021,25.0,70.0,,60.0,4600.0,,50.0,,,
10.0,187,3,07/20/2021,26.7,70.0,,60.5,4600.0,,45.0,,,
38.0,540,3,08/27/2021,75.0,70.0,,60.0,11883.0,,45.0,,,
59.0,1215,6,12/01/2021,3.0,75.0,,0.65,11883.0,,50.0,,,
7.0,67,4,03/25/2024,,,,,,,,,,
36.0,475,6,09/27/2021,18.0,70.0,,65.0,11883.0,,45.0,,,
4.0,11,0,03/10/2020,15.0,70.0,,,4600.0,,50.0,,,
25.0,391,6,09/23/2020,20.0,70.0,,,11883.0,,45.0,,,
35.0,626,3,08/13/2021,25.0,70.0,,60.0,,,50.0,,,
9.0,155,1,07/16/2021,25.0,70.0,,60.0,11883.0,,45.0,,,
53.0,685,0,11/30/2022,5.0,75.0,,75.0,11883.0,,40.0,,,
12.0,163,2,03/10/2022,15.0,70.0,,70.0,4600.0,,50.0,,,
7.0,319,1,04/10/2022,15.0,70.0,,70.0,4600.0,,50.0,,,
63.0,826,13,12/12/2021,1.7,75.0,,70.5,11883.0,,42.0,,,
46.0,469,9,04/03/2021,10.0,60.0,,20.0,4600.0,,45.0,,,
16.0,166,0,10/09/2022,15.0,70.0,,70.0,4600.0,,50.0,,,
22.0,139,4,05/28/2021,65.0,70.0,,50.0,11883.0,,42.0,,,
26.0,204,4,10/03/2021,18.0,70.0,,65.0,11883.0,,42.0,,,
19.0,356,4,09/18/2020,18.3,70.0,,,11883.0,,45.0,,,
7.0,69,2,07/11/2021,10.0,75.0,,60.0,,,50.0,,,
13.0,118,2,03/04/2022,45.0,60.0,,75.0,11900.0,,40.0,,,
28.0,348,3,07/28/2021,25.0,70.0,,60.0,,,50.0,,,
22.0,160,1,01/29/2023,28.0,75.0,,75.3,11883.0,,40.0,,,
17.0,108,6,09/20/2020,18.0,75.0,,,11883.0,,45.0,,,
30.0,479,2,08/05/2021,25.0,70.0,,60.0,,,50.0,,,
26.0,468,0,02/22/2023,,,,,,,,,,
96.0,2807,14,12/14/2021,1.7,75.0,,72.5,11883.0,,42.0,,,
15.0,530,0,04/12/2022,10.0,65.0,,70.0,11883.0,,45.0,,,
29.0,259,2,03/24/2023,45.0,60.0,,75.0,11883.0,,40.0,,,
10.0,93,1,03/05/2022,5.0,70.0,,65.0,11883.0,,45.0,,,
31.0,110,20,06/07/2020,75.0,65.0,,,,,50.0,,,
23.0,89,7,05/29/2021,18.5,65.0,,45.2,11883.0,,42.0,,,
27.0,277,6,03/20/2021,45.0,60.0,,15.0,11883.0,,42.0,,,
73.0,733,6,11/01/2020,8.0,75.0,,,11883.0,,45.0,,,
13.0,159,0,04/19/2023,10.0,,,,4600.0,,,,,
38.0,571,3,09/08/2022,75.0,70.0,,70.5,11900.0,,45.0,,,
14.0,221,0,08/30/2023,75.0,70.0,,70.0,11883.0,,45.0,,,
24.0,417,2,08/07/2020,27.0,70.0,,,11883.0,,45.0,,,
18.0,240,10,02/21/2022,,,,,,,,,,
23.0,422,3,08/20/2020,25.0,70.0,,,11883.0,,45.0,,,
29.0,592,2,08/12/2021,25.0,70.0,,60.0,,,50.0,,,
26.0,309,4,09/18/2021,22.0,70.0,,60.0,11883.0,,45.0,,,
26.0,160,0,02/25/2023,34.0,70.0,,75.0,11883.0,,45.0,,,
2.0,45,0,06/28/2023,75.0,60.0,,70.0,11883.0,,45.0,,,
4.0,186,6,03/01/2022,2.8,75.0,,70.5,11883.0,,45.0,,,
4.0,35,3,06/25/2021,25.0,70.0,,50.0,11883.0,,45.0,,,
47.0,338,16,01/24/2021,30.0,70.0,,,11883.0,,45.0,,,
7.0,111,0,08/03/2023,75.0,65.0,,75.3,11883.0,,45.0,,,
6.0,47,0,06/23/2021,25.0,70.0,,50.0,11883.0,,50.0,,,
35.0,941,2,07/14/2022,77.0,65.0,,70.0,,,50.0,,,
25.0,391,0,09/17/2020,20.0,70.0,,,11883.0,,50.0,,,
65.0,856,11,01/25/2021,,,,,,,,,,
53.0,582,17,01/29/2022,,,,,,,,,,
18.0,398,0,04/24/2022,10.0,60.0,,75.0,11883.0,,45.0,,,
22.0,358,4,02/15/2022,,,,,,,,,,
25.0,158,9,02/21/2021,32.0,70.0,,5.2,11883.0,,45.0,,,
28.0,240,0,11/12/2022,5.0,75.0,,70.0,11883.0,,45.0,,,
9.0,57,2,05/14/2023,18.0,65.0,,75.0,11883.0,,45.0,,,
93.0,771,29,05/20/2020,15.0,60.0,,,11883.0,,45.0,,,
166.0,666,33,04/14/2020,10.0,60.0,8.0,,11883.0,,45.0,,,
28.0,428,3,08/03/2020,25.0,70.0,,,11883.0,,45.0,,,
140.0,397,33,04/11/2020,10.0,75.0,,,11883.0,,45.0,,,
10.0,106,0,08/12/2023,75.0,70.0,,70.0,11883.0,,45.0,,,
22.0,429,2,02/02/2023,,,,,,,,,,
2.0,80,0,07/19/2023,75.0,70.0,,70.0,11883.0,,45.0,,,
3.0,5,0,03/09/2020,,,,,,,,,,
29.0,386,7,11/13/2021,5.0,75.0,,67.0,11883.0,,45.0,,,
70.0,521,22,05/28/2020,18.0,70.0,,,4600.0,,45.0,,,
8.0,37,0,05/21/2023,18.0,65.0,,75.0,11883.0,,45.0,,,
84.0,1203,13,12/05/2020,4.0,75.0,,,11883.0,,35.0,,,
21.0,369,1,09/08/2020,23.0,70.0,,,11883.0,,45.0,,,
27.0,478,2,02/27/2023,3.0,70.0,,75.0,11883.0,,45.0,,,
38.0,514,4,09/09/2021,22.0,70.0,,65.0,,,45.0,,,
8.0,87,0,07/27/2023,78.0,70.0,,,11883.0,,50.0,,,
37.0,437,0,11/18/2022,35.0,70.0,,70.0,11883.0,,50.0,,,
24.0,614,2,10/24/2022,12.0,70.0,,70.0,4600.0,,50.0,,,
28.0,388,0,01/26/2023,,,,,,,,,,
24.0,308,1,03/28/2023,45.0,60.0,,75.0,11883.0,,40.0,,,
48.0,247,25,06/02/2020,22.0,65.0,,,,,50.0,,,
49.0,569,1,11/01/2022,10.0,,,70.0,11883.0,,,,,
65.0,1114,21,01/02/2021,,,,,,,,,,
30.0,514,1,06/25/2022,75.0,65.0,,70.0,,,50.0,,,
47.0,743,2,08/16/2022,75.0,70.0,,70.0,11883.0,,50.0,,,
37.0,962,1,08/02/2022,25.0,70.0,,70.0,11883.0,,50.0,,,
15.0,97,4,07/12/2020,28.0,70.0,,,11883.0,,45.0,,,
24.0,233,4,08/29/2020,23.3,70.0,,,11883.0,,42.0,,,
13.0,771,1,04/18/2022,8.3,65.0,,70.5,11883.0,,42.0,,,
14.0,90,0,04/02/2023,10.0,65.0,,75.0,4600.0,,45.0,,,
25.0,232,0,10/22/2022,55.0,70.0,,75.0,11883.0,,45.0,,,
44.0,819,3,12/19/2022,,,,,,,,,,
23.0,337,5,10/21/2021,15.0,70.0,,65.0,11883.0,,45.0,,,
25.0,353,1,10/18/2021,15.0,70.0,,65.0,11883.0,,45.0,,,
40.0,851,3,06/20/2022,75.0,65.0,,70.0,11883.0,,45.0,,,
24.0,336,5,03/03/2021,3.3,70.0,,10.5,11883.0,,42.0,,,
69.0,1083,19,01/19/2021,,,,,,,,,,
33.0,488,0,11/22/2022,40.0,75.0,,70.0,11883.0,,50.0,,,
31.0,374,5,10/06/2021,18.0,70.0,,65.0,11883.0,,45.0,,,
25.0,411,1,08/18/2020,24.0,70.0,,,11900.0,,45.0,,,
27.0,505,3,09/14/2022,22.0,70.0,,70.0,4600.0,,50.0,,,
18.0,215,3,08/01/2021,25.0,70.0,,60.0,,,45.0,,,
5.0,54,1,07/03/2023,25.0,70.0,,75.0,11883.0,,45.0,,,
60.0,1444,24,12/30/2020,0.5,75.0,,,11883.0,,40.0,,,
28.0,92,12,06/14/2020,72.0,65.0,,,11883.0,,45.0,,,
20.0,349,4,08/06/2020,26.7,70.0,,,4600.0,,45.0,,,
91.0,328,30,05/23/2020,18.0,65.0,,,11883.0,,45.0,,,
3.0,53,0,06/29/2023,75.0,60.0,,70.0,11883.0,,50.0,,,
68.0,581,30,12/20/2020,1.1,75.0,,,11883.0,,45.0,,,
4.0,27,0,07/04/2023,75.0,60.0,,70.0,11883.0,,45.0,,,
19.0,96,0,04/15/2023,12.0,60.0,,75.0,4600.0,,45.0,,,
104.0,2323,15,11/02/2020,10.0,75.0,,,4600.0,,45.0,,,
17.0,39,2,06/10/2021,18.0,70.0,,65.0,11883.0,,45.0,,,
65.0,614,26,05/27/2020,18.3,65.0,7.0,,11883.0,,45.0,,,
47.0,389,2,01/02/2023,,,,,,,,,,
17.0,323,1,07/29/2021,25.0,70.0,,60.0,11883.0,,45.0,,,
19.0,1088,0,05/05/2022,15.0,60.0,,70.0,4600.0,,45.0,,,
19.0,1294,1,05/03/2022,12.0,65.0,,70.0,11883.0,,45.0,,,
21.0,247,0,09/17/2022,22.0,70.0,,68.5,11883.0,,45.0,,,
2.0,0,0,03/01/2020,2.8,75.0,,,11883.0,,45.0,,,
10.0,170,3,03/09/2022,,,,,,,,,,
25.0,339,0,09/23/2022,,,,,,,,,,
51.0,620,3,12/02/2022,,,,,,,,,,
15.0,197,0,07/24/2021,,,,,,,,,,
79.0,853,24,12/19/2020,,,,,,,,,,
22.0,387,0,03/07/2023,,,,,,,,,,
44.0,852,3,07/15/2022,,,,,,,,,,
112.0,943,33,05/18/2020,,,,,,,,,,
28.0,417,5,01/12/2023,,,,,,,,,,
45.0,943,18,01/31/2022,,,,,,,,,,
8.0,122,0,05/16/2023,,,,,,,,,,
29.0,229,0,03/31/2023,,,,,,,,,,
32.0,622,5,07/23/2022,,,,,,,,,,
29.0,413,2,08/31/2020,,,,,,,,,,
25.0,311,0,03/09/2023,,,,,,,,,,
16.0,121,1,02/11/2024,,,,,,,,,,
63.0,666,27,01/23/2022,,,,,,,,,,
52.0,155,0,03/20/2020,,,,,,,,,,
77.0,749,23,05/26/2020,,,,,,,,,,
16.0,176,0,10/16/2022,,,,,,,,,,
29.0,354,1,03/11/2021,,,,,,,,,,
4.0,52,3,06/15/2021,,,,,,,,,,
7.0,3,0,03/08/2020,,,,,,,,,,
30.0,547,2,06/18/2022,,,,,,,,,,
9.0,240,1,03/25/2022,,,,,,,,,,
24.0,209,1,09/14/2023,,,,,,,,,,
199.0,4455,11,12/26/2021,,,,,,,,,,
25.0,184,1,02/07/2024,,,,,,,,,,
98.0,780,15,11/22/2020,,,,,,,,,,
82.0,1871,4,10/30/2020,,,,,,,,,,
34.0,464,1,01/18/2023,,,,,,,,,,
5.0,48,0,06/19/2023,,,,,,,,,,
36.0,254,23,06/09/2020,,,,,,,,,,
87.0,1887,4,10/29/2020,,,,,,,,,,
35.0,386,0,08/27/2022,,,,,,,,,,
82.0,1066,10,10/31/2020,,,,,,,,,,
30.0,329,7,03/02/2021,,,,,,,,,,
43.0,506,1,11/21/2022,,,,,,,,,,
13.0,96,0,03/05/2024,,,,,,,,,,
167.0,1466,36,04/23/2020,,,,,,,,,,
22.0,474,3,08/02/2021,,,,,,,,,,
3.0,27,0,06/18/2023,,,,,,,,,,
19.0,173,0,09/27/2023,,,,,,,,,,
7.0,58,2,07/05/2021,,,,,,,,,,
23.0,143,9,02/14/2021,,,,,,,,,,
36.0,388,2,08/14/2022,,,,,,,,,,
12.0,166,3,03/07/2022,,,,,,,,,,
38.0,558,3,08/17/2021,,,,,,,,,,
104.0,2065,35,12/07/2020,,,,,,,,,,
10.0,94,0,03/13/2024,,,,,,,,,,
40.0,121,22,05/31/2020,,,,,,,,,,
1.0,0,0,03/02/2020,,,,,,,,,,
20.0,190,0,03/04/2023,,,,,,,,,,
18.0,405,3,09/02/2020,,,,,,,,,,
26.0,412,4,08/25/2020,,,,,,,,,,
15.0,644,0,04/13/2022,,,,,,,,,,
17.0,116,0,09/23/2023,,,,,,,,,,
110.0,1757,28,12/09/2020,,,,,,,,,,
121.0,1923,17,11/24/2020,,,,,,,,,,
27.0,589,2,06/05/2022,,,,,,,,,,
32.0,564,3,08/20/2021,,,,,,,,,,
9.0,75,2,03/03/2024,,,,,,,,,,
30.0,327,2,12/23/2022,,,,,,,,,,
36.0,466,0,10/26/2022,,,,,,,,,,
13.0,199,1,08/31/2023,,,,,,,,,,
30.0,438,3,03/02/2023,,,,,,,,,,
35.0,692,5,11/15/2021,,,,,,,,,,
50.0,674,2,08/23/2022,,,,,,,,,,
29.0,635,1,05/21/2022,,,,,,,,,,
13.0,535,0,05/01/2022,,,,,,,,,,
21.0,258,7,02/15/2021,,,,,,,,,,
50.0,1002,4,07/19/2022,,,,,,,,,,
38.0,551,0,11/10/2022,,,,,,,,,,
39.0,504,1,11/15/2022,,,,,,,,,,
12.0,146,1,02/26/2024,,,,,,,,,,
20.0,757,2,04/29/2022,,,,,,,,,,
90.0,1223,21,12/23/2020,,,,,,,,,,
43.0,974,0,07/13/2022,,,,,,,,,,
17.0,191,2,08/22/2020,,,,,,,,,,
17.0,887,1,04/19/2022,,,,,,,,,,
20.0,681,0,04/21/2022,,,,,,,,,,
1.0,56,0,07/13/2023,,,,,,,,,,
87.0,1355,16,01/11/2021,,,,,,,,,,
61.0,331,1,12/10/2022,,,,,,,,,,
17.0,99,2,02/04/2024,,,,,,,,,,
55.0,399,9,05/06/2021,,,,,,,,,,
14.0,87,1,10/15/2023,,,,,,,,,,
26.0,383,4,08/28/2020,,,,,,,,,,
81.0,1507,20,01/24/2022,,,,,,,,,,
15.0,216,0,04/04/2023,,,,,,,,,,
114.0,3649,9,12/17/2021,,,,,,,,,,
45.0,437,2,11/25/2022,,,,,,,,,,
3.0,56,1,07/14/2023,,,,,,,,,,
35.0,361,1,10/14/2021,,,,,,,,,,
155.0,3073,21,01/14/2022,,,,,,,,,,
19.0,302,1,07/27/2021,,,,,,,,,,
37.0,526,19,02/03/2022,,,,,,,,,,
5.0,352,0,03/28/2022,,,,,,,,,,
14.0,349,9,03/12/2021,,,,,,,,,,
104.0,1856,32,12/04/2020,,,,,,,,,,
43.0,525,10,10/25/2020,,,,,,,,,,
98.0,921,43,05/08/2020,,,,,,,,,,
121.0,2789,10,11/06/2020,,,,,,,,,,
13.0,531,1,04/05/2022,,,,,,,,,,
13.0,176,0,09/08/2023,,,,,,,,,,
28.0,970,0,06/22/2022,,,,,,,,,,
43.0,1649,1,05/31/2022,,,,,,,,,,
29.0,184,14,06/18/2020,,,,,,,,,,
29.0,408,0,02/24/2023,,,,,,,,,,
108.0,1833,18,11/25/2020,,,,,,,,,,
33.0,192,3,12/31/2023,,,,,,,,,,
32.0,844,1,08/29/2022,,,,,,,,,,
129.0,248,4,03/28/2020,,,,,,,,,,
22.0,153,1,01/15/2024,,,,,,,,,,
19.0,362,1,07/27/2020,,,,,,,,,,
25.0,415,4,10/02/2020,,,,,,,,,,
26.0,347,3,08/14/2020,,,,,,,,,,
48.0,577,3,09/07/2021,,,,,,,,,,
36.0,777,0,08/30/2022,,,,,,,,,,
12.0,143,0,08/18/2023,,,,,,,,,,
63.0,438,6,04/17/2021,,,,,,,,,,
42.0,271,8,05/08/2021,,,,,,,,,,
28.0,258,3,11/05/2022,,,,,,,,,,
34.0,982,1,06/09/2022,,,,,,,,,,
11.0,139,0,09/02/2023,,,,,,,,,,
113.0,1703,19,12/10/2020,,,,,,,,,,
13.0,442,1,08/03/2021,,,,,,,,,,
17.0,256,0,03/30/2023,,,,,,,,,,
28.0,201,10,06/11/2020,,,,,,,,,,
23.0,237,4,10/02/2021,,,,,,,,,,
47.0,647,6,02/02/2021,,,,,,,,,,
58.0,864,5,04/12/2021,,,,,,,,,,
44.0,529,7,08/31/2021,,,,,,,,,,
21.0,239,4,10/09/2021,,,,,,,,,,
11.0,226,0,08/25/2023,,,,,,,,,,
29.0,179,1,01/22/2023,,,,,,,,,,
29.0,232,12,06/10/2020,,,,,,,,,,
62.0,495,18,01/10/2021,,,,,,,,,,
33.0,329,1,12/06/2023,,,,,,,,,,
52.0,538,9,02/04/2021,,,,,,,,,,
28.0,376,1,08/10/2020,,,,,,,,,,
6.0,120,2,03/20/2022,,,,,,,,,,
87.0,1736,9,10/28/2020,,,,,,,,,,
54.0,644,2,08/23/2021,,,,,,,,,,
12.0,103,2,07/13/2021,,,,,,,,,,
5.0,35,0,07/15/2023,,,,,,,,,,
7.0,56,0,07/30/2023,,,,,,,,,,
32.0,641,1,09/01/2022,,,,,,,,,,
22.0,129,1,01/01/2024,,,,,,,,,,
15.0,58,7,06/06/2021,,,,,,,,,,
13.0,87,1,03/11/2024,,,,,,,,,,
36.0,467,2,11/17/2022,,,,,,,,,,
29.0,419,2,09/28/2020,,,,,,,,,,
50.0,557,8,04/10/2021,,,,,,,,,,
115.0,1373,17,11/28/2020,,,,,,,,,,
18.0,253,1,04/10/2023,,,,,,,,,,
34.0,379,3,09/25/2020,,,,,,,,,,
59.0,352,4,05/01/2021,,,,,,,,,,
19.0,154,2,07/11/2020,,,,,,,,,,
14.0,73,0,10/08/2023,,,,,,,,,,
7.0,135,1,10/31/2023,,,,,,,,,,
21.0,203,3,09/05/2020,,,,,,,,,,
31.0,331,1,09/03/2022,,,,,,,,,,
46.0,405,6,08/14/2021,,,,,,,,,,
18.0,332,3,07/28/2020,,,,,,,,,,
102.0,265,23,11/26/2020,,,,,,,,,,
28.0,328,2,10/10/2022,,,,,,,,,,
34.0,487,1,07/30/2022,,,,,,,,,,
48.0,1005,2,07/20/2022,,,,,,,,,,
14.0,130,1,04/01/2023,,,,,,,,,,
9.0,107,1,10/22/2023,,,,,,,,,,
22.0,207,2,10/15/2022,,,,,,,,,,
42.0,733,2,11/17/2021,,,,,,,,,,
15.0,100,0,03/04/2024,,,,,,,,,,
34.0,436,3,11/01/2021,,,,,,,,,,
180.0,461,24,04/01/2020,,,,,,,,,,
5.0,27,1,06/20/2021,,,,,,,,,,
5.0,76,0,07/08/2021,,,,,,,,,,
25.0,241,1,11/21/2023,,,,,,,,,,
4.0,27,1,06/24/2023,,,,,,,,,,
10.0,181,0,09/28/2023,,,,,,,,,,
7.0,62,1,06/05/2023,,,,,,,,,,
42.0,333,2,12/05/2023,,,,,,,,,,
5.0,49,0,07/10/2021,,,,,,,,,,
155.0,1091,58,05/05/2020,,,,,,,,,,
91.0,3590,10,12/15/2021,,,,,,,,,,
7.0,82,1,07/09/2021,,,,,,,,,,
28.0,306,4,07/08/2020,,,,,,,,,,
11.0,94,2,03/14/2024,,,,,,,,,,
42.0,275,2,12/08/2023,,,,,,,,,,
142.0,2738,30,01/18/2022,,,,,,,,,,
63.0,233,20,06/01/2020,,,,,,,,,,
16.0,343,3,10/26/2021,,,,,,,,,,
121.0,2389,23,11/30/2020,,,,,,,,,,
31.0,519,8,11/03/2021,,,,,,,,,,
30.0,440,2,03/19/2021,,,,,,,,,,
22.0,141,5,08/01/2020,,,,,,,,,,
13.0,688,0,04/22/2022,,,,,,,,,,
31.0,444,5,02/21/2023,,,,,,,,,,
6.0,78,0,07/21/2023,,,,,,,,,,
41.0,368,2,12/27/2023,,,,,,,,,,
35.0,514,2,10/25/2022,,,,,,,,,,
11.0,93,0,07/24/2023,,,,,,,,,,
6.0,55,0,07/22/2023,,,,,,,,,,
,30,0,07/09/2023,,,,,,,,,,
23.0,400,6,10/28/2021,,,,,,,,,,
77.0,999,20,01/22/2022,,,,,,,,,,
44.0,299,2,01/07/2023,,,,,,,,,,
32.0,613,2,05/28/2022,,,,,,,,,,
20.0,320,4,10/11/2021,,,,,,,,,,
20.0,260,0,03/10/2023,,,,,,,,,,
33.0,452,1,07/03/2022,,,,,,,,,,
3.0,312,1,03/23/2022,,,,,,,,,,
6.0,40,0,07/16/2023,,,,,,,,,,
22.0,385,3,10/27/2021,,,,,,,,,,
22.0,144,1,01/13/2024,,,,,,,,,,
29.0,161,1,02/19/2023,,,,,,,,,,
14.0,549,1,04/15/2022,,,,,,,,,,
20.0,400,5,09/09/2020,,,,,,,,,,
35.0,252,2,12/31/2022,,,,,,,,,,
29.0,365,1,10/21/2022,,,,,,,,,,
27.0,192,1,09/20/2023,,,,,,,,,,
24.0,210,11,06/16/2020,,,,,,,,,,
23.0,389,3,02/09/2023,,,,,,,,,,
10.0,125,0,08/02/2023,,,,,,,,,,
13.0,281,1,04/09/2022,,,,,,,,,,
17.0,146,0,08/09/2023,,,,,,,,,,
27.0,328,2,12/04/2023,,,,,,,,,,
17.0,236,6,02/23/2022,,,,,,,,,,
122.0,833,13,11/15/2020,,,,,,,,,,
40.0,323,3,01/04/2024,,,,,,,,,,
23.0,261,0,09/19/2023,,,,,,,,,,
28.0,480,1,06/19/2022,,,,,,,,,,
6.0,51,0,06/30/2021,,,,,,,,,,
33.0,622,0,05/22/2022,,,,,,,,,,
21.0,376,6,10/12/2021,,,,,,,,,,
17.0,355,2,07/30/2021,,,,,,,,,,
10.0,47,0,05/20/2023,,,,,,,,,,
38.0,812,0,07/29/2022,,,,,,,,,,
3.0,45,0,07/10/2023,,,,,,,,,,
7.0,92,0,07/18/2021,,,,,,,,,,
16.0,123,1,10/13/2023,,,,,,,,,,
20.0,431,2,01/23/2023,,,,,,,,,,
35.0,464,4,02/06/2023,,,,,,,,,,
2.0,48,0,06/14/2023,,,,,,,,,,
40.0,497,6,09/02/2021,,,,,,,,,,
18.0,45,2,05/31/2021,,,,,,,,,,
16.0,104,2,10/06/2023,,,,,,,,,,
8.0,240,0,08/28/2023,,,,,,,,,,
16.0,172,0,09/15/2023,,,,,,,,,,
21.0,195,1,03/17/2023,,,,,,,,,,
79.0,1665,18,12/28/2020,,,,,,,,,,
30.0,383,4,10/01/2021,,,,,,,,,,
20.0,608,1,05/08/2022,,,,,,,,,,
24.0,157,1,03/11/2023,,,,,,,,,,
11.0,167,0,05/04/2023,,,,,,,,,,
31.0,280,1,11/19/2022,,,,,,,,,,
12.0,709,0,04/20/2022,,,,,,,,,,
125.0,2300,32,11/20/2020,,,,,,,,,,
14.0,135,0,04/20/2023,,,,,,,,,,
11.0,93,0,05/18/2023,,,,,,,,,,
7.0,13,0,03/11/2020,,,,,,,,,,
18.0,170,2,09/19/2020,,,,,,,,,,
8.0,64,5,06/09/2021,,,,,,,,,,
142.0,2462,21,11/17/2020,,,,,,,,,,
18.0,129,0,09/09/2023,,,,,,,,,,
17.0,336,10,03/10/2021,,,,,,,,,,
42.0,260,0,12/30/2023,,,,,,,,,,
28.0,462,7,09/30/2021,,,,,,,,,,
41.0,307,5,04/04/2021,,,,,,,,,,
88.0,1348,24,12/17/2020,,,,,,,,,,
2.0,1,0,03/04/2020,,,,,,,,,,
25.0,182,2,02/11/2023,,,,,,,,,,
16.0,381,15,02/14/2022,,,,,,,,,,
39.0,322,0,12/07/2023,,,,,,,,,,
46.0,828,0,12/06/2022,,,,,,,,,,
29.0,1141,0,06/06/2022,,,,,,,,,,
87.0,1878,10,01/04/2021,,,,,,,,,,
33.0,554,4,11/27/2021,,,,,,,,,,
25.0,453,0,02/07/2023,,,,,,,,,,
14.0,204,2,03/29/2023,,,,,,,,,,
158.0,326,22,04/04/2020,,,,,,,,,,
13.0,141,3,07/25/2021,,,,,,,,,,
24.0,554,3,08/24/2020,,,,,,,,,,
28.0,95,6,05/23/2021,,,,,,,,,,
41.0,742,6,11/16/2021,,,,,,,,,,
32.0,244,2,09/19/2021,,,,,,,,,,
21.0,161,1,01/23/2024,,,,,,,,,,
31.0,235,20,06/15/2020,,,,,,,,,,
52.0,774,0,12/21/2022,,,,,,,,,,
107.0,2140,13,11/03/2020,,,,,,,,,,
61.0,647,6,04/26/2021,,,,,,,,,,
19.0,139,2,01/26/2024,,,,,,,,,,
11.0,150,0,10/18/2023,,,,,,,,,,
25.0,346,3,07/24/2020,,,,,,,,,,
10.0,68,0,06/07/2023,,,,,,,,,,
87.0,1603,16,01/05/2021,,,,,,,,,,
23.0,158,1,01/25/2024,,,,,,,,,,
47.0,454,1,12/30/2022,,,,,,,,,,
97.0,888,27,05/19/2020,,,,,,,,,,
40.0,820,2,12/15/2022,,,,,,,,,,
28.0,680,0,06/17/2022,,,,,,,,,,
18.0,117,1,09/16/2023,,,,,,,,,,
122.0,367,5,03/25/2020,,,,,,,,,,
22.0,100,2,07/19/2020,,,,,,,,,,
22.0,100,5,08/30/2020,,,,,,,,,,
69.0,970,22,12/31/2020,,,,,,,,,,
46.0,347,1,10/18/2020,,,,,,,,,,
6.0,63,0,08/06/2023,,,,,,,,,,
7.0,122,0,03/19/2022,,,,,,,,,,
28.0,320,4,09/05/2021,,,,,,,,,,
29.0,876,5,10/13/2020,,,,,,,,,,
18.0,125,0,11/11/2023,,,,,,,,,,
170.0,436,15,04/02/2020,,,,,,,,,,
18.0,205,1,09/12/2023,,,,,,,,,,
31.0,588,1,08/18/2022,,,,,,,,,,
50.0,646,1,12/16/2022,,,,,,,,,,
65.0,1713,21,12/29/2020,,,,,,,,,,
16.0,48,11,06/21/2020,,,,,,,,,,
96.0,2512,8,11/04/2020,,,,,,,,,,
3.0,25,0,07/02/2023,,,,,,,,,,
26.0,490,4,11/02/2021,,,,,,,,,,
79.0,915,21,12/12/2020,,,,,,,,,,
43.0,511,6,09/03/2021,,,,,,,,,,
51.0,1204,18,01/08/2021,,,,,,,,,,
14.0,69,0,03/02/2024,,,,,,,,,,
22.0,96,1,03/17/2020,,,,,,,,,,
91.0,724,36,05/22/2020,,,,,,,,,,
23.0,425,6,02/10/2022,,,,,,,,,,
13.0,125,2,03/11/2022,,,,,,,,,,
166.0,719,49,05/02/2020,,,,,,,,,,
28.0,161,1,11/24/2022,,,,,,,,,,
23.0,548,1,10/07/2020,,,,,,,,,,
30.0,245,6,05/21/2021,,,,,,,,,,
63.0,624,15,01/16/2021,,,,,,,,,,
23.0,247,1,11/22/2023,,,,,,,,,,
58.0,1180,6,10/21/2020,,,,,,,,,,
15.0,192,0,05/10/2023,,,,,,,,,,
34.0,592,1,06/04/2022,,,,,,,,,,
17.0,330,3,09/01/2020,,,,,,,,,,
18.0,315,4,11/06/2021,,,,,,,,,,
31.0,1337,0,05/25/2022,,,,,,,,,,
35.0,276,0,12/16/2023,,,,,,,,,,
36.0,395,0,10/11/2022,,,,,,,,,,
30.0,220,2,03/06/2021,,,,,,,,,,
49.0,971,2,07/26/2022,,,,,,,,,,
29.0,188,3,11/13/2022,,,,,,,,,,
24.0,390,4,08/13/2020,,,,,,,,,,
118.0,2691,19,11/13/2020,,,,,,,,,,
24.0,386,1,05/30/2022,,,,,,,,,,
27.0,421,1,01/19/2023,,,,,,,,,,
26.0,351,1,12/11/2023,,,,,,,,,,
40.0,792,1,09/06/2022,,,,,,,,,,
90.0,612,24,12/27/2020,,,,,,,,,,
31.0,257,0,11/15/2023,,,,,,,,,,
32.0,419,1,03/06/2023,,,,,,,,,,
27.0,227,0,11/08/2023,,,,,,,,,,
173.0,704,36,04/08/2020,,,,,,,,,,
27.0,515,5,09/10/2021,,,,,,,,,,
24.0,394,5,07/20/2020,,,,,,,,,,
14.0,138,2,09/29/2023,,,,,,,,,,
29.0,318,3,07/23/2020,,,,,,,,,,
